E_center_MeV,counts,err_plus,err_minus
1.077913e-11,0,0.000000e+00,0.000000e+00
1.252422e-11,0,0.000000e+00,0.000000e+00
1.455184e-11,0,0.000000e+00,0.000000e+00
1.690771e-11,0,0.000000e+00,0.000000e+00
1.964500e-11,0,0.000000e+00,0.000000e+00
2.282544e-11,0,0.000000e+00,0.000000e+00
2.652078e-11,0,0.000000e+00,0.000000e+00
3.081438e-11,0,0.000000e+00,0.000000e+00
3.580309e-11,0,0.000000e+00,0.000000e+00
4.159945e-11,0,0.000000e+00,0.000000e+00
4.833422e-11,0,0.000000e+00,0.000000e+00
5.615932e-11,0,0.000000e+00,0.000000e+00
6.525127e-11,0,0.000000e+00,0.000000e+00
7.581517e-11,0,0.000000e+00,0.000000e+00
8.808931e-11,0,0.000000e+00,0.000000e+00
1.023506e-10,0,0.000000e+00,0.000000e+00
1.189207e-10,0,0.000000e+00,0.000000e+00
1.381734e-10,0,0.000000e+00,0.000000e+00
1.605431e-10,0,0.000000e+00,0.000000e+00
1.865343e-10,0,0.000000e+00,0.000000e+00
2.167334e-10,0,0.000000e+00,0.000000e+00
2.518216e-10,0,0.000000e+00,0.000000e+00
2.925905e-10,0,0.000000e+00,0.000000e+00
3.399596e-10,0,0.000000e+00,0.000000e+00
3.949976e-10,0,0.000000e+00,0.000000e+00
4.589459e-10,1,1.000000e+00,1.000000e+00
5.332473e-10,0,0.000000e+00,0.000000e+00
6.195777e-10,0,0.000000e+00,0.000000e+00
7.198846e-10,0,0.000000e+00,0.000000e+00
8.364308e-10,1,1.000000e+00,1.000000e+00
9.718453e-10,0,0.000000e+00,0.000000e+00
1.129183e-09,2,1.414214e+00,1.414214e+00
1.311993e-09,0,0.000000e+00,0.000000e+00
1.524398e-09,3,1.732051e+00,1.732051e+00
1.771192e-09,2,1.414214e+00,1.414214e+00
2.057940e-09,3,1.732051e+00,1.732051e+00
2.391112e-09,14,3.741657e+00,3.741657e+00
2.778222e-09,6,2.449490e+00,2.449490e+00
3.228004e-09,14,3.741657e+00,3.741657e+00
3.750604e-09,13,3.605551e+00,3.605551e+00
4.357810e-09,25,5.000000e+00,5.000000e+00
5.063321e-09,32,5.656854e+00,5.656854e+00
5.883050e-09,53,7.280110e+00,7.280110e+00
6.835490e-09,64,8.000000e+00,8.000000e+00
7.942126e-09,76,8.717798e+00,8.717798e+00
9.227922e-09,100,1.000000e+01,1.000000e+01
1.072188e-08,151,1.228821e+01,1.228821e+01
1.245771e-08,201,1.417745e+01,1.417745e+01
1.447456e-08,221,1.486607e+01,1.486607e+01
1.681792e-08,295,1.717556e+01,1.717556e+01
1.954067e-08,321,1.791647e+01,1.791647e+01
2.270422e-08,397,1.992486e+01,1.992486e+01
2.637994e-08,519,2.278157e+01,2.278157e+01
3.065073e-08,623,2.495997e+01,2.495997e+01
3.561295e-08,701,2.647640e+01,2.647640e+01
4.137853e-08,743,2.725803e+01,2.725803e+01
4.807754e-08,776,2.785678e+01,2.785678e+01
5.586108e-08,794,2.817801e+01,2.817801e+01
6.490475e-08,801,2.830194e+01,2.830194e+01
7.541254e-08,680,2.607681e+01,2.607681e+01
8.762150e-08,619,2.487971e+01,2.487971e+01
1.018070e-07,518,2.275961e+01,2.275961e+01
1.182892e-07,387,1.967232e+01,1.967232e+01
1.374397e-07,263,1.621727e+01,1.621727e+01
1.596905e-07,164,1.280625e+01,1.280625e+01
1.855437e-07,122,1.104536e+01,1.104536e+01
2.155824e-07,81,9.000000e+00,9.000000e+00
2.504843e-07,58,7.615773e+00,7.615773e+00
2.910366e-07,50,7.071068e+00,7.071068e+00
3.381542e-07,48,6.928203e+00,6.928203e+00
3.928999e-07,47,6.855655e+00,6.855655e+00
4.565086e-07,61,7.810250e+00,7.810250e+00
5.304154e-07,45,6.708204e+00,6.708204e+00
6.162873e-07,37,6.082763e+00,6.082763e+00
7.160615e-07,48,6.928203e+00,6.928203e+00
8.319888e-07,41,6.403124e+00,6.403124e+00
9.666841e-07,32,5.656854e+00,5.656854e+00
1.123186e-06,49,7.000000e+00,7.000000e+00
1.305025e-06,63,7.937254e+00,7.937254e+00
1.516303e-06,38,6.164414e+00,6.164414e+00
1.761786e-06,36,6.000000e+00,6.000000e+00
2.047011e-06,41,6.403124e+00,6.403124e+00
2.378413e-06,41,6.403124e+00,6.403124e+00
2.763468e-06,36,6.000000e+00,6.000000e+00
3.210861e-06,37,6.082763e+00,6.082763e+00
3.730686e-06,45,6.708204e+00,6.708204e+00
4.334667e-06,45,6.708204e+00,6.708204e+00
5.036431e-06,43,6.557439e+00,6.557439e+00
5.851807e-06,38,6.164414e+00,6.164414e+00
6.799189e-06,57,7.549834e+00,7.549834e+00
7.899948e-06,39,6.244998e+00,6.244998e+00
9.178915e-06,48,6.928203e+00,6.928203e+00
1.066494e-05,53,7.280110e+00,7.280110e+00
1.239155e-05,47,6.855655e+00,6.855655e+00
1.439769e-05,46,6.782330e+00,6.782330e+00
1.672861e-05,57,7.549834e+00,7.549834e+00
1.943690e-05,46,6.782330e+00,6.782330e+00
