E_center_MeV,counts,err_plus,err_minus
2.258365e-05,44,6.633250e+00,6.633250e+00
2.623984e-05,46,6.782330e+00,6.782330e+00
3.048796e-05,43,6.557439e+00,6.557439e+00
3.542382e-05,43,6.557439e+00,6.557439e+00
4.115879e-05,31,5.567764e+00,5.567764e+00
4.782221e-05,44,6.633250e+00,6.633250e+00
5.556442e-05,53,7.280110e+00,7.280110e+00
6.456006e-05,41,6.403124e+00,6.403124e+00
7.501205e-05,60,7.745967e+00,7.745967e+00
8.715617e-05,35,5.916080e+00,5.916080e+00
1.012664e-04,37,6.082763e+00,6.082763e+00
1.176610e-04,43,6.557439e+00,6.557439e+00
1.367098e-04,40,6.324555e+00,6.324555e+00
1.588425e-04,54,7.348469e+00,7.348469e+00
1.845584e-04,54,7.348469e+00,7.348469e+00
2.144376e-04,54,7.348469e+00,7.348469e+00
2.491541e-04,42,6.480741e+00,6.480741e+00
2.894910e-04,50,7.071068e+00,7.071068e+00
3.363584e-04,43,6.557439e+00,6.557439e+00
3.908133e-04,41,6.403124e+00,6.403124e+00
4.540843e-04,55,7.416198e+00,7.416198e+00
5.275985e-04,52,7.211103e+00,7.211103e+00
6.130144e-04,47,6.855655e+00,6.855655e+00
7.122588e-04,50,7.071068e+00,7.071068e+00
8.275704e-04,48,6.928203e+00,6.928203e+00
9.615504e-04,55,7.416198e+00,7.416198e+00
1.117221e-03,49,7.000000e+00,7.000000e+00
1.298094e-03,48,6.928203e+00,6.928203e+00
1.508250e-03,61,7.810250e+00,7.810250e+00
1.752429e-03,43,6.557439e+00,6.557439e+00
2.036140e-03,32,5.656854e+00,5.656854e+00
2.365782e-03,40,6.324555e+00,6.324555e+00
2.748792e-03,57,7.549834e+00,7.549834e+00
3.193809e-03,49,7.000000e+00,7.000000e+00
3.710873e-03,51,7.141428e+00,7.141428e+00
4.311647e-03,54,7.348469e+00,7.348469e+00
5.009684e-03,73,8.544004e+00,8.544004e+00
5.820730e-03,58,7.615773e+00,7.615773e+00
6.763081e-03,56,7.483315e+00,7.483315e+00
7.857994e-03,51,7.141428e+00,7.141428e+00
9.130169e-03,49,7.000000e+00,7.000000e+00
1.060830e-02,61,7.810250e+00,7.810250e+00
1.232574e-02,61,7.810250e+00,7.810250e+00
1.432123e-02,54,7.348469e+00,7.348469e+00
1.663977e-02,76,8.717798e+00,8.717798e+00
1.933368e-02,49,7.000000e+00,7.000000e+00
2.246371e-02,69,8.306624e+00,8.306624e+00
2.610049e-02,64,8.000000e+00,8.000000e+00
3.032605e-02,64,8.000000e+00,8.000000e+00
3.523570e-02,77,8.774964e+00,8.774964e+00
4.094021e-02,68,8.246211e+00,8.246211e+00
4.756825e-02,66,8.124038e+00,8.124038e+00
5.526934e-02,79,8.888194e+00,8.888194e+00
6.421720e-02,97,9.848858e+00,9.848858e+00
7.461369e-02,76,8.717798e+00,8.717798e+00
8.669332e-02,97,9.848858e+00,9.848858e+00
1.007286e-01,100,1.000000e+01,1.000000e+01
1.170361e-01,101,1.004988e+01,1.004988e+01
1.359837e-01,133,1.153256e+01,1.153256e+01
1.579989e-01,150,1.224745e+01,1.224745e+01
1.835782e-01,158,1.256981e+01,1.256981e+01
2.132988e-01,133,1.153256e+01,1.153256e+01
2.478309e-01,154,1.240967e+01,1.240967e+01
2.879536e-01,196,1.400000e+01,1.400000e+01
3.345721e-01,206,1.435270e+01,1.435270e+01
3.887378e-01,204,1.428286e+01,1.428286e+01
4.516728e-01,244,1.562050e+01,1.562050e+01
5.247966e-01,298,1.726268e+01,1.726268e+01
6.097589e-01,301,1.734935e+01,1.734935e+01
7.084762e-01,340,1.843909e+01,1.843909e+01
8.231754e-01,403,2.007486e+01,2.007486e+01
9.564439e-01,401,2.002498e+01,2.002498e+01
1.111288e+00,450,2.121320e+01,2.121320e+01
1.291201e+00,511,2.260531e+01,2.260531e+01
1.500240e+00,587,2.422808e+01,2.422808e+01
1.743123e+00,652,2.553429e+01,2.553429e+01
2.025327e+00,707,2.658947e+01,2.658947e+01
2.353218e+00,809,2.844293e+01,2.844293e+01
2.734194e+00,829,2.879236e+01,2.879236e+01
3.176848e+00,979,3.128898e+01,3.128898e+01
3.691166e+00,996,3.155947e+01,3.155947e+01
4.288750e+00,1178,3.432200e+01,3.432200e+01
4.983080e+00,1293,3.595831e+01,3.595831e+01
5.789818e+00,1114,3.337664e+01,3.337664e+01
6.727165e+00,1184,3.440930e+01,3.440930e+01
7.816263e+00,832,2.884441e+01,2.884441e+01
9.081682e+00,460,2.144761e+01,2.144761e+01
1.055197e+01,171,1.307670e+01,1.307670e+01
1.226028e+01,0,0.000000e+00,0.000000e+00
1.424517e+01,0,0.000000e+00,0.000000e+00
1.655140e+01,0,0.000000e+00,0.000000e+00
1.923100e+01,0,0.000000e+00,0.000000e+00
2.234442e+01,0,0.000000e+00,0.000000e+00
2.596188e+01,0,0.000000e+00,0.000000e+00
3.016499e+01,0,0.000000e+00,0.000000e+00
3.504857e+01,0,0.000000e+00,0.000000e+00
4.072279e+01,0,0.000000e+00,0.000000e+00
4.731563e+01,0,0.000000e+00,0.000000e+00
5.497582e+01,0,0.000000e+00,0.000000e+00
6.387617e+01,0,0.000000e+00,0.000000e+00
7.421744e+01,0,0.000000e+00,0.000000e+00
8.623292e+01,0,0.000000e+00,0.000000e+00
1.001936e+02,0,0.000000e+00,0.000000e+00
