E_center_MeV,counts,err_plus,err_minus
9.615504e-04,18,4.242641e+00,4.242641e+00
1.117221e-03,20,4.472136e+00,4.472136e+00
1.298094e-03,18,4.242641e+00,4.242641e+00
1.508250e-03,27,5.196152e+00,5.196152e+00
1.752429e-03,20,4.472136e+00,4.472136e+00
2.036140e-03,22,4.690416e+00,4.690416e+00
2.365782e-03,31,5.567764e+00,5.567764e+00
2.748792e-03,14,3.741657e+00,3.741657e+00
3.193809e-03,32,5.656854e+00,5.656854e+00
3.710873e-03,30,5.477226e+00,5.477226e+00
4.311647e-03,21,4.582576e+00,4.582576e+00
5.009684e-03,18,4.242641e+00,4.242641e+00
5.820730e-03,27,5.196152e+00,5.196152e+00
6.763081e-03,28,5.291503e+00,5.291503e+00
7.857994e-03,19,4.358899e+00,4.358899e+00
9.130169e-03,21,4.582576e+00,4.582576e+00
1.060830e-02,23,4.795832e+00,4.795832e+00
1.232574e-02,31,5.567764e+00,5.567764e+00
1.432123e-02,17,4.123106e+00,4.123106e+00
1.663977e-02,21,4.582576e+00,4.582576e+00
1.933368e-02,25,5.000000e+00,5.000000e+00
2.246371e-02,33,5.744563e+00,5.744563e+00
2.610049e-02,30,5.477226e+00,5.477226e+00
3.032605e-02,23,4.795832e+00,4.795832e+00
3.523570e-02,37,6.082763e+00,6.082763e+00
4.094021e-02,32,5.656854e+00,5.656854e+00
4.756825e-02,26,5.099020e+00,5.099020e+00
5.526934e-02,39,6.244998e+00,6.244998e+00
6.421720e-02,45,6.708204e+00,6.708204e+00
7.461369e-02,49,7.000000e+00,7.000000e+00
8.669332e-02,39,6.244998e+00,6.244998e+00
1.007286e-01,35,5.916080e+00,5.916080e+00
1.170361e-01,58,7.615773e+00,7.615773e+00
1.359837e-01,41,6.403124e+00,6.403124e+00
1.579989e-01,49,7.000000e+00,7.000000e+00
1.835782e-01,64,8.000000e+00,8.000000e+00
2.132988e-01,54,7.348469e+00,7.348469e+00
2.478309e-01,75,8.660254e+00,8.660254e+00
2.879536e-01,87,9.327379e+00,9.327379e+00
3.345721e-01,91,9.539392e+00,9.539392e+00
3.887378e-01,119,1.090871e+01,1.090871e+01
4.516728e-01,107,1.034408e+01,1.034408e+01
5.247966e-01,122,1.104536e+01,1.104536e+01
6.097589e-01,166,1.288410e+01,1.288410e+01
7.084762e-01,155,1.244990e+01,1.244990e+01
8.231754e-01,161,1.268858e+01,1.268858e+01
9.564439e-01,196,1.400000e+01,1.400000e+01
1.111288e+00,243,1.558846e+01,1.558846e+01
1.291201e+00,254,1.593738e+01,1.593738e+01
1.500240e+00,269,1.640122e+01,1.640122e+01
1.743123e+00,309,1.757840e+01,1.757840e+01
2.025327e+00,358,1.892089e+01,1.892089e+01
2.353218e+00,374,1.933908e+01,1.933908e+01
2.734194e+00,388,1.969772e+01,1.969772e+01
3.176848e+00,431,2.076054e+01,2.076054e+01
3.691166e+00,455,2.133073e+01,2.133073e+01
4.288750e+00,562,2.370654e+01,2.370654e+01
4.983080e+00,626,2.501999e+01,2.501999e+01
5.789818e+00,570,2.387467e+01,2.387467e+01
6.727165e+00,642,2.533772e+01,2.533772e+01
7.816263e+00,394,1.984943e+01,1.984943e+01
9.081682e+00,220,1.483240e+01,1.483240e+01
1.055197e+01,108,1.039230e+01,1.039230e+01
1.226028e+01,0,0.000000e+00,0.000000e+00
1.424517e+01,0,0.000000e+00,0.000000e+00
1.655140e+01,0,0.000000e+00,0.000000e+00
1.923100e+01,0,0.000000e+00,0.000000e+00
2.234442e+01,0,0.000000e+00,0.000000e+00
2.596188e+01,0,0.000000e+00,0.000000e+00
3.016499e+01,0,0.000000e+00,0.000000e+00
3.504857e+01,0,0.000000e+00,0.000000e+00
4.072279e+01,0,0.000000e+00,0.000000e+00
4.731563e+01,0,0.000000e+00,0.000000e+00
5.497582e+01,0,0.000000e+00,0.000000e+00
6.387617e+01,0,0.000000e+00,0.000000e+00
7.421744e+01,0,0.000000e+00,0.000000e+00
8.623292e+01,0,0.000000e+00,0.000000e+00
1.001936e+02,0,0.000000e+00,0.000000e+00
