E_center_MeV,counts,err_plus,err_minus
1.077913e-11,0,0.000000e+00,0.000000e+00
1.252422e-11,0,0.000000e+00,0.000000e+00
1.455184e-11,0,0.000000e+00,0.000000e+00
1.690771e-11,0,0.000000e+00,0.000000e+00
1.964500e-11,0,0.000000e+00,0.000000e+00
2.282544e-11,0,0.000000e+00,0.000000e+00
2.652078e-11,0,0.000000e+00,0.000000e+00
3.081438e-11,0,0.000000e+00,0.000000e+00
3.580309e-11,0,0.000000e+00,0.000000e+00
4.159945e-11,0,0.000000e+00,0.000000e+00
4.833422e-11,0,0.000000e+00,0.000000e+00
5.615932e-11,0,0.000000e+00,0.000000e+00
6.525127e-11,0,0.000000e+00,0.000000e+00
7.581517e-11,0,0.000000e+00,0.000000e+00
8.808931e-11,0,0.000000e+00,0.000000e+00
1.023506e-10,0,0.000000e+00,0.000000e+00
1.189207e-10,0,0.000000e+00,0.000000e+00
1.381734e-10,0,0.000000e+00,0.000000e+00
1.605431e-10,0,0.000000e+00,0.000000e+00
1.865343e-10,0,0.000000e+00,0.000000e+00
2.167334e-10,0,0.000000e+00,0.000000e+00
2.518216e-10,0,0.000000e+00,0.000000e+00
2.925905e-10,0,0.000000e+00,0.000000e+00
3.399596e-10,0,0.000000e+00,0.000000e+00
3.949976e-10,0,0.000000e+00,0.000000e+00
4.589459e-10,0,0.000000e+00,0.000000e+00
5.332473e-10,0,0.000000e+00,0.000000e+00
6.195777e-10,0,0.000000e+00,0.000000e+00
7.198846e-10,1,1.000000e+00,1.000000e+00
8.364308e-10,0,0.000000e+00,0.000000e+00
9.718453e-10,1,1.000000e+00,1.000000e+00
1.129183e-09,1,1.000000e+00,1.000000e+00
1.311993e-09,1,1.000000e+00,1.000000e+00
1.524398e-09,2,1.414214e+00,1.414214e+00
1.771192e-09,4,2.000000e+00,2.000000e+00
2.057940e-09,4,2.000000e+00,2.000000e+00
2.391112e-09,4,2.000000e+00,2.000000e+00
2.778222e-09,6,2.449490e+00,2.449490e+00
3.228004e-09,12,3.464102e+00,3.464102e+00
3.750604e-09,14,3.741657e+00,3.741657e+00
4.357810e-09,19,4.358899e+00,4.358899e+00
5.063321e-09,25,5.000000e+00,5.000000e+00
5.883050e-09,29,5.385165e+00,5.385165e+00
6.835490e-09,43,6.557439e+00,6.557439e+00
7.942126e-09,68,8.246211e+00,8.246211e+00
9.227922e-09,74,8.602325e+00,8.602325e+00
1.072188e-08,90,9.486833e+00,9.486833e+00
1.245771e-08,129,1.135782e+01,1.135782e+01
1.447456e-08,169,1.300000e+01,1.300000e+01
1.681792e-08,175,1.322876e+01,1.322876e+01
1.954067e-08,241,1.552417e+01,1.552417e+01
2.270422e-08,271,1.646208e+01,1.646208e+01
2.637994e-08,358,1.892089e+01,1.892089e+01
3.065073e-08,406,2.014944e+01,2.014944e+01
3.561295e-08,480,2.190890e+01,2.190890e+01
4.137853e-08,506,2.249444e+01,2.249444e+01
4.807754e-08,564,2.374868e+01,2.374868e+01
5.586108e-08,567,2.381176e+01,2.381176e+01
6.490475e-08,521,2.282542e+01,2.282542e+01
7.541254e-08,518,2.275961e+01,2.275961e+01
8.762150e-08,445,2.109502e+01,2.109502e+01
1.018070e-07,387,1.967232e+01,1.967232e+01
1.182892e-07,296,1.720465e+01,1.720465e+01
1.374397e-07,207,1.438749e+01,1.438749e+01
1.596905e-07,161,1.268858e+01,1.268858e+01
1.855437e-07,128,1.131371e+01,1.131371e+01
2.155824e-07,110,1.048809e+01,1.048809e+01
2.504843e-07,89,9.433981e+00,9.433981e+00
2.910366e-07,69,8.306624e+00,8.306624e+00
3.381542e-07,85,9.219544e+00,9.219544e+00
3.928999e-07,61,7.810250e+00,7.810250e+00
4.565086e-07,75,8.660254e+00,8.660254e+00
5.304154e-07,72,8.485281e+00,8.485281e+00
6.162873e-07,83,9.110434e+00,9.110434e+00
7.160615e-07,73,8.544004e+00,8.544004e+00
8.319888e-07,85,9.219544e+00,9.219544e+00
9.666841e-07,61,7.810250e+00,7.810250e+00
1.123186e-06,71,8.426150e+00,8.426150e+00
1.305025e-06,71,8.426150e+00,8.426150e+00
1.516303e-06,62,7.874008e+00,7.874008e+00
1.761786e-06,78,8.831761e+00,8.831761e+00
2.047011e-06,75,8.660254e+00,8.660254e+00
2.378413e-06,76,8.717798e+00,8.717798e+00
2.763468e-06,84,9.165151e+00,9.165151e+00
3.210861e-06,80,8.944272e+00,8.944272e+00
3.730686e-06,76,8.717798e+00,8.717798e+00
4.334667e-06,81,9.000000e+00,9.000000e+00
5.036431e-06,92,9.591663e+00,9.591663e+00
5.851807e-06,78,8.831761e+00,8.831761e+00
6.799189e-06,96,9.797959e+00,9.797959e+00
7.899948e-06,89,9.433981e+00,9.433981e+00
9.178915e-06,76,8.717798e+00,8.717798e+00
1.066494e-05,73,8.544004e+00,8.544004e+00
1.239155e-05,91,9.539392e+00,9.539392e+00
1.439769e-05,88,9.380832e+00,9.380832e+00
1.672861e-05,84,9.165151e+00,9.165151e+00
1.943690e-05,60,7.745967e+00,7.745967e+00
