E_center_MeV,counts,err_plus,err_minus
2.258365e-05,71,8.426150e+00,8.426150e+00
2.623984e-05,73,8.544004e+00,8.544004e+00
3.048796e-05,86,9.273618e+00,9.273618e+00
3.542382e-05,75,8.660254e+00,8.660254e+00
4.115879e-05,72,8.485281e+00,8.485281e+00
4.782221e-05,75,8.660254e+00,8.660254e+00
5.556442e-05,96,9.797959e+00,9.797959e+00
6.456006e-05,95,9.746794e+00,9.746794e+00
7.501205e-05,88,9.380832e+00,9.380832e+00
8.715617e-05,93,9.643651e+00,9.643651e+00
1.012664e-04,87,9.327379e+00,9.327379e+00
1.176610e-04,84,9.165151e+00,9.165151e+00
1.367098e-04,77,8.774964e+00,8.774964e+00
1.588425e-04,95,9.746794e+00,9.746794e+00
1.845584e-04,91,9.539392e+00,9.539392e+00
2.144376e-04,103,1.014889e+01,1.014889e+01
2.491541e-04,83,9.110434e+00,9.110434e+00
2.894910e-04,110,1.048809e+01,1.048809e+01
3.363584e-04,87,9.327379e+00,9.327379e+00
3.908133e-04,85,9.219544e+00,9.219544e+00
4.540843e-04,88,9.380832e+00,9.380832e+00
5.275985e-04,90,9.486833e+00,9.486833e+00
6.130144e-04,95,9.746794e+00,9.746794e+00
7.122588e-04,83,9.110434e+00,9.110434e+00
8.275704e-04,74,8.602325e+00,8.602325e+00
9.615504e-04,90,9.486833e+00,9.486833e+00
1.117221e-03,94,9.695360e+00,9.695360e+00
1.298094e-03,75,8.660254e+00,8.660254e+00
1.508250e-03,92,9.591663e+00,9.591663e+00
1.752429e-03,96,9.797959e+00,9.797959e+00
2.036140e-03,98,9.899495e+00,9.899495e+00
2.365782e-03,86,9.273618e+00,9.273618e+00
2.748792e-03,91,9.539392e+00,9.539392e+00
3.193809e-03,95,9.746794e+00,9.746794e+00
3.710873e-03,97,9.848858e+00,9.848858e+00
4.311647e-03,76,8.717798e+00,8.717798e+00
5.009684e-03,98,9.899495e+00,9.899495e+00
5.820730e-03,106,1.029563e+01,1.029563e+01
6.763081e-03,94,9.695360e+00,9.695360e+00
7.857994e-03,94,9.695360e+00,9.695360e+00
9.130169e-03,98,9.899495e+00,9.899495e+00
1.060830e-02,113,1.063015e+01,1.063015e+01
1.232574e-02,106,1.029563e+01,1.029563e+01
1.432123e-02,110,1.048809e+01,1.048809e+01
1.663977e-02,107,1.034408e+01,1.034408e+01
1.933368e-02,91,9.539392e+00,9.539392e+00
2.246371e-02,107,1.034408e+01,1.034408e+01
2.610049e-02,118,1.086278e+01,1.086278e+01
3.032605e-02,121,1.100000e+01,1.100000e+01
3.523570e-02,127,1.126943e+01,1.126943e+01
4.094021e-02,156,1.249000e+01,1.249000e+01
4.756825e-02,147,1.212436e+01,1.212436e+01
5.526934e-02,142,1.191638e+01,1.191638e+01
6.421720e-02,156,1.249000e+01,1.249000e+01
7.461369e-02,176,1.326650e+01,1.326650e+01
8.669332e-02,167,1.292285e+01,1.292285e+01
1.007286e-01,179,1.337909e+01,1.337909e+01
1.170361e-01,190,1.378405e+01,1.378405e+01
1.359837e-01,233,1.526434e+01,1.526434e+01
1.579989e-01,240,1.549193e+01,1.549193e+01
1.835782e-01,256,1.600000e+01,1.600000e+01
2.132988e-01,307,1.752142e+01,1.752142e+01
2.478309e-01,330,1.816590e+01,1.816590e+01
2.879536e-01,360,1.897367e+01,1.897367e+01
3.345721e-01,368,1.918333e+01,1.918333e+01
3.887378e-01,436,2.088061e+01,2.088061e+01
4.516728e-01,457,2.137756e+01,2.137756e+01
5.247966e-01,484,2.200000e+01,2.200000e+01
6.097589e-01,542,2.328089e+01,2.328089e+01
7.084762e-01,660,2.569047e+01,2.569047e+01
8.231754e-01,699,2.643861e+01,2.643861e+01
9.564439e-01,811,2.847806e+01,2.847806e+01
1.111288e+00,815,2.854820e+01,2.854820e+01
1.291201e+00,952,3.085450e+01,3.085450e+01
1.500240e+00,1053,3.244996e+01,3.244996e+01
1.743123e+00,1247,3.531289e+01,3.531289e+01
2.025327e+00,1481,3.848376e+01,3.848376e+01
2.353218e+00,1541,3.925557e+01,3.925557e+01
2.734194e+00,1841,4.290688e+01,4.290688e+01
3.176848e+00,2059,4.537621e+01,4.537621e+01
3.691166e+00,1941,4.405678e+01,4.405678e+01
4.288750e+00,2338,4.835287e+01,4.835287e+01
4.983080e+00,2602,5.100980e+01,5.100980e+01
5.789818e+00,2227,4.719110e+01,4.719110e+01
6.727165e+00,2179,4.667976e+01,4.667976e+01
7.816263e+00,1885,4.341659e+01,4.341659e+01
9.081682e+00,795,2.819574e+01,2.819574e+01
1.055197e+01,340,1.843909e+01,1.843909e+01
1.226028e+01,0,0.000000e+00,0.000000e+00
1.424517e+01,0,0.000000e+00,0.000000e+00
1.655140e+01,0,0.000000e+00,0.000000e+00
1.923100e+01,0,0.000000e+00,0.000000e+00
2.234442e+01,0,0.000000e+00,0.000000e+00
2.596188e+01,0,0.000000e+00,0.000000e+00
3.016499e+01,0,0.000000e+00,0.000000e+00
3.504857e+01,0,0.000000e+00,0.000000e+00
4.072279e+01,0,0.000000e+00,0.000000e+00
4.731563e+01,0,0.000000e+00,0.000000e+00
5.497582e+01,0,0.000000e+00,0.000000e+00
6.387617e+01,0,0.000000e+00,0.000000e+00
7.421744e+01,0,0.000000e+00,0.000000e+00
8.623292e+01,0,0.000000e+00,0.000000e+00
1.001936e+02,0,0.000000e+00,0.000000e+00
