filename,entries,sum_edep,mean_edep,sum_edepQuenched,mean_edepQuenched,sum_lightYield,mean_lightYield,sum_producedPhotons,mean_producedPhotons
mca_ambe.root,1000,34.690211330777345,0.03469021133077734,5.128836328602314,0.005128836328602314,8655.506283474302,8.655506283474303,51288.36328602313,51.28836328602313
mca_co60.root,10000,69.37220830669196,0.006937220830669196,66.7429728794556,0.006674297287945561,61147.01893652036,6.114701893652036,667429.7287945561,66.7429728794556
mca_cs137.root,10000,49.16111623247882,0.004916111623247882,46.68929124946273,0.0046689291249462726,66329.09776492175,6.632909776492175,466892.9124946272,46.68929124946272
mca_na22.root,1000,205.835440885094,0.20583544088509398,198.23160315916834,0.19823160315916835,541520.2690934481,541.5202690934481,1982316.0315916836,1982.3160315916837
mca_na22_check.root,1000,196.05328968921572,0.1960532896892157,188.8482821914073,0.18884828219140729,530964.718999313,530.9647189993129,1888482.821914073,1888.4828219140732
mca_sr90.root,1000,178.7701556047308,0.1787701556047308,172.39373819763796,0.17239373819763795,489922.5225942468,489.9225225942468,1723937.3819763795,1723.9373819763796
mca_t0.root,900,4.605887227507186,0.005117652475007984,4.416637189904334,0.00490737465544926,3210.204892994748,3.56689432554972,44166.37189904334,49.0737465544926
mca_t1.root,800,5.321497737764782,0.006651872172205977,5.138672628534632,0.0064233407856682904,4027.8477809954115,5.034809726244265,51386.72628534631,64.23340785668289
mca_t10.root,400,2.070748007906091,0.005176870019765228,1.973004865062855,0.004932512162657138,1011.4833751213889,2.528708437803472,19730.048650628552,49.32512162657138
mca_t11.root,600,6.057224941924175,0.010095374903206958,5.850706767378616,0.009751177945631028,3434.1401678714965,5.723566946452494,58507.067673786165,97.51177945631028
mca_t2.root,1000,10.485382054369211,0.01048538205436921,10.132143786419686,0.010132143786419686,11925.09887501379,11.92509887501379,101321.43786419687,101.32143786419687
mca_t3.root,900,9.834352711133224,0.010927058567925805,9.468350156695683,0.010520389062995204,7170.699105249507,7.96744345027723,94683.50156695681,105.20389062995201
mca_t4.root,1400,11.976742836788766,0.008554816311991975,11.525975846158445,0.008232839890113175,9833.790686736063,7.024136204811474,115259.75846158444,82.32839890113175
mca_t5.root,1100,6.924452148326389,0.006294956498478535,6.63240793361185,0.006029461757828954,7796.486927330062,7.087715388481874,66324.07933611848,60.294617578289525
mca_t6.root,1000,7.546503654294348,0.007546503654294348,7.254320640043101,0.007254320640043101,6425.039212030073,6.425039212030073,72543.206400431,72.54320640043099
mca_t7.root,900,9.597647455864099,0.010664052728737888,9.238299739680446,0.010264777488533829,13359.829901406472,14.84425544600719,92382.99739680448,102.64777488533831
mca_t8.root,400,5.6717143430579195,0.014179285857644799,5.433870789484674,0.013584676973711685,2592.167446316241,6.480418615790602,54338.70789484674,135.84676973711686
mca_t9.root,600,3.965046586998676,0.0066084109783311265,3.8076372927761404,0.0063460621546269,2663.970948589556,4.439951580982593,38076.372927761404,63.460621546269
